row_prev,row_cur,tag_prev,tag_cur,time_prev,time_cur,_ts_prev,_ts_cur,delta_min,same_tag,merge_break_reason
1,2,关卡难度高,技能差异问,2025-08-06 16:47:23,2025-08-06 16:37:24,2025-08-06 16:47:23,2025-08-06 16:37:24,-9.983,False,标签不同
2,3,技能差异问,操作询问,2025-08-06 16:37:24,2025-08-06 16:48:54,2025-08-06 16:37:24,2025-08-06 16:48:54,11.5,False,标签不同
3,4,操作询问,机制变更,2025-08-06 16:48:54,2025-08-06 16:52:02,2025-08-06 16:48:54,2025-08-06 16:52:02,3.133,False,标签不同
4,5,机制变更,殖装体验询,2025-08-06 16:52:02,2025-08-06 16:41:58,2025-08-06 16:52:02,2025-08-06 16:41:58,-10.067,False,标签不同
5,6,殖装体验询,殖装信息缺,2025-08-06 16:41:58,2025-08-06 16:41:58,2025-08-06 16:41:58,2025-08-06 16:41:58,0.0,False,标签不同
6,7,殖装信息缺,殖装强度询,2025-08-06 16:41:58,2025-08-06 16:40:31,2025-08-06 16:41:58,2025-08-06 16:40:31,-1.45,False,标签不同
7,8,殖装强度询,殖装技能疑,2025-08-06 16:40:31,2025-08-06 16:37:24,2025-08-06 16:40:31,2025-08-06 16:37:24,-3.117,False,标签不同
8,9,殖装技能疑,殖装选择询,2025-08-06 16:37:24,2025-08-06 16:38:35,2025-08-06 16:37:24,2025-08-06 16:38:35,1.183,False,标签不同
9,10,殖装选择询,玩法疑惑,2025-08-06 16:38:35,2025-08-06 16:52:00,2025-08-06 16:38:35,2025-08-06 16:52:00,13.417,False,标签不同
10,11,玩法疑惑,通关求助,2025-08-06 16:52:00,2025-08-06 16:47:23,2025-08-06 16:52:00,2025-08-06 16:47:23,-4.617,False,标签不同
11,12,通关求助,陷阱机制,2025-08-06 16:47:23,2025-08-06 16:52:02,2025-08-06 16:47:23,2025-08-06 16:52:02,4.65,False,标签不同
